Text	Date	Likes	Retweets
Upcoming Falcon Heavy 🚀 &amp; 🛰 details 	2019-06-07 02:04:30	20061	1579
This is my pet bee, Eric 	2019-05-31 23:56:35	65791	5533
New Tesla Summon will 🧨 ur 🧠	2019-05-31 21:51:07	116576	6787
Found an old copy of @SignalApp 	2019-05-31 21:38:50	38481	2478
Model 3 Performance 	2019-05-31 17:04:23	11488	985
Beautiful solar sail 	2019-05-25 17:45:50	65282	6074
“Stop sending me this étron” - Audi 	2019-05-25 09:41:54	68615	7046
Great ad 	2019-05-25 09:34:06	31145	1781
💨 &amp; 🌌 	2019-05-25 07:17:49	167555	21012
Boring Company guide to why tunnels are awesome &amp; safest place to be in an earthquake 	2019-05-24 20:13:14	12108	1244
Racing at 127mph in a tunnel under LA 	2019-05-24 06:35:34	107231	14344
Launch in 3 mins 	2019-05-24 02:27:34	14595	918
New S &amp; X are much improved. Worth trying out. You’re on version 2, current S/X is version 4. 	2019-05-24 02:25:49	6311	305
Smart Summon coming soon! 	2019-05-24 02:20:34	31222	3450
Boring Company starts digging Vegas tunnel in 2 months. Aiming to finish by end of year. 	2019-05-23 01:36:43	31737	2418
😉	2019-05-22 19:30:14	163926	18418
Tesla does not advertise or pay for endorsements. Instead, we use that money to make the product great. 	2019-05-19 01:39:07	67148	6648
Lots more games coming once we finish porting Unity! 	2019-05-18 23:15:21	121387	12935
This is why we put extra filters in all Tesla cars. S &amp; X even have hospital operating room grade HEPA filters. 	2019-05-17 18:50:10	55430	4473
😐 	2019-05-17 18:47:29	107719	17320
And I am forever grateful 	2019-05-17 06:37:56	803200	153201
Starlink mission will be heaviest @SpaceX payload ever at 18.5 tons. If all goes well, each launch of 60 satellites will generate more power than Space Station &amp; deliver 1 terabit of bandwidth to Earth.	2019-05-16 01:26:39	67572	7474
GoT season finale leaked 	2019-05-13 06:59:20	78040	5503
First 60 @SpaceX Starlink satellites loaded into Falcon fairing. Tight fit. 	2019-05-12 01:43:39	85122	10998
♥️u3k 	2019-05-11 18:20:09	25975	1655
Truth 	2019-05-10 20:11:12	88674	5849
By Spiderwee on Artstation 	2019-05-10 08:55:42	84283	8542
.@cgpgrey drives a Tesla across the loneliest road in America 	2019-05-10 04:20:23	12208	842
Oh stop teasing, Jeff 😉 	2019-05-10 03:14:03	99438	9468
Turns out there’s more ways to use Autopilot than we imagined	2019-05-09 20:46:27	184308	25458
