	sentiment	content	labels
1	sadness	Layin n bed with a headache  ughhhh...waitin on your call...	[0 0 0 0 1]
2	sadness	Funeral ceremony...gloomy friday...	[0 0 0 0 1]
3	happiness	wants to hang out with friends SOON!	[0 1 0 0 0]
4	neutral	@dannycastillo We want to trade with someone who has Houston tickets, but no one will.	[0 0 0 1 0]
5	sadness	Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends	[0 0 0 0 1]
6	sadness	I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!	[0 0 0 0 1]
7	sadness	Hmmm. http://www.djhero.com/ is down	[0 0 0 0 1]
8	sadness	@charviray Charlene my love. I miss you	[0 0 0 0 1]
9	sadness	@kelcouch I'm sorry  at least it's Friday?	[0 0 0 0 1]
10	neutral	cant fall asleep	[0 0 0 1 0]
11	sadness	Choked on her retainers	[0 0 0 0 1]
12	sadness	Ugh! I have to beat this stupid song to get to the next  rude!	[0 0 0 0 1]
13	sadness	@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol	[0 0 0 0 1]
14	happiness	Got the news	[0 1 0 0 0]
15	sadness	The storm is here and the electricity is gone	[0 0 0 0 1]
16	love	@annarosekerr agreed	[0 0 1 0 0]
17	sadness	So sleepy again and it's not even that late. I fail once again.	[0 0 0 0 1]
18	sadness	@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know	[0 0 0 0 1]
19	sadness	How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend	[0 0 0 0 1]
20	sadness	@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too	[0 0 0 0 1]
21	happiness	Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore	[0 1 0 0 0]
22	neutral	No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps	[0 0 0 1 0]
23	sadness	I ate Something I don't know what it is... Why do I keep Telling things about food	[0 0 0 0 1]
24	sadness	so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.	[0 0 0 0 1]
25	sadness	On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old	[0 0 0 0 1]
26	sadness	@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!	[0 0 0 0 1]
27	sadness	Damm servers still down  i need to hit 80 before all the koxpers pass me	[0 0 0 0 1]
28	sadness	Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!	[0 0 0 0 1]
29	sadness	I HATE CANCER. I HATE IT I HATE IT I HATE IT.	[0 0 0 0 1]
30	anger	It is so annoying when she starts typing on her computer in the middle of the night!	[1 0 0 0 0]
31	neutral	@cynthia_123 i cant sleep	[0 0 0 1 0]
32	neutral	I missed the bl***y bus!!!!!!!!	[0 0 0 1 0]
33	neutral	feels strong contractions but wants to go out.  http://plurk.com/p/wxidk	[0 0 0 1 0]
34	neutral	SoCal!  stoked. or maybe not.. tomorrow	[0 0 0 1 0]
35	neutral	Screw you @davidbrussee! I only have 3 weeks...	[0 0 0 1 0]
36	sadness	@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?	[0 0 0 0 1]
37	sadness	I need skott right now	[0 0 0 0 1]
38	neutral	has work this afternoon	[0 0 0 1 0]
